case,r,t,u,r0,u0,D,sc,p
1,4.050000e-01,2.700000e+01,9.307110e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,1.550000e-01,3.000000e+00,2.371124e-06,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,1.500000e-02,2.700000e+01,9.999991e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,8.500000e-02,2.100000e+01,9.997065e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,9.000000e-02,1.200000e+01,9.000000e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,3.250000e-01,1.800000e+01,2.150342e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,3.800000e-01,3.000000e+01,9.933870e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,8.500000e-02,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,1.500000e-02,2.100000e+01,9.999957e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,5.000000e-02,9.000000e+00,9.420436e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,3.000000e-01,1.200000e+01,2.175756e-03,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,4.950000e-01,3.000000e+01,4.950000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,2.650000e-01,1.200000e+01,4.151078e-05,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,4.700000e-01,1.800000e+01,4.700000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,4.100000e-01,2.700000e+01,4.100000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,4.850000e-01,1.500000e+01,2.544008e-11,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,3.800000e-01,3.000000e+00,1.658314e-26,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,4.000000e-01,3.000000e+01,4.000000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,3.700000e-01,1.200000e+01,1.087295e-05,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,1.750000e-01,6.000000e+00,1.750000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,1.550000e-01,2.400000e+01,1.550000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,3.500000e-02,2.100000e+01,9.999868e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,3.350000e-01,1.500000e+01,1.128735e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,7.500000e-02,2.400000e+01,7.500000e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,4.800000e-01,3.000000e+01,2.899716e-06,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,3.500000e-02,1.200000e+01,9.934499e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,1.750000e-01,1.800000e+01,9.800350e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,3.550000e-01,1.800000e+01,3.550000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,2.450000e-01,1.500000e+01,5.147510e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,4.350000e-01,2.100000e+01,3.616009e-07,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,2.500000e-01,6.000000e+00,2.500000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,3.500000e-01,6.000000e+00,1.715616e-12,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,5.000000e-01,2.100000e+01,1.033583e-08,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,3.400000e-01,9.000000e+00,1.664117e-09,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,4.550000e-01,1.800000e+01,7.125597e-04,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,1.250000e-01,2.700000e+01,1.250000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,2.000000e-02,1.500000e+01,9.992362e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,2.700000e-01,9.000000e+00,3.583807e-04,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,2.500000e-01,3.000000e+00,1.197115e-13,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,4.850000e-01,3.000000e+01,8.984596e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,4.650000e-01,2.100000e+01,4.650000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
2,2.700000e-01,1.800000e+01,6.246181e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,4.650000e-01,1.500000e+01,1.476674e-10,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,4.500000e-02,1.800000e+01,9.998307e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,1.500000e-02,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,3.900000e-01,1.500000e+01,3.900000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,4.700000e-01,6.000000e+00,4.205638e-23,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,2.000000e-01,1.500000e+01,2.000000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,2.800000e-01,1.500000e+01,1.053036e-04,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,2.450000e-01,3.000000e+00,2.362832e-12,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,4.500000e-01,1.200000e+01,5.666193e-09,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,3.750000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,4.650000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,3.350000e-01,1.200000e+01,2.350567e-07,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,5.500000e-02,1.200000e+01,3.930432e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,2.850000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,6.000000e-02,9.000000e+00,2.820298e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,9.500000e-02,1.800000e+01,2.284384e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,4.050000e-01,1.500000e+01,4.050000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,3.250000e-01,3.000000e+01,3.250000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,1.700000e-01,1.200000e+01,8.392104e-03,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,2.200000e-01,3.000000e+01,2.200000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,1.250000e-01,2.400000e+01,1.699502e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,4.000000e-02,3.000000e+00,2.143963e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,2.400000e-01,2.100000e+01,4.886985e-03,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,7.500000e-02,1.800000e+01,3.416438e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,2.750000e-01,2.100000e+01,9.076744e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,2.900000e-01,1.500000e+01,2.900000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,3.600000e-01,6.000000e+00,1.373236e-14,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,6.000000e-02,1.200000e+01,3.514784e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,2.150000e-01,3.000000e+00,4.224381e-10,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,9.500000e-02,3.000000e+00,3.406951e-03,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,3.000000e-01,6.000000e+00,3.000000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,1.650000e-01,1.500000e+01,2.203783e-02,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,1.050000e-01,9.000000e+00,1.050000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,1.750000e-01,3.000000e+01,1.750000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,3.550000e-01,9.000000e+00,1.020854e-07,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,6.000000e-02,2.100000e+01,9.999585e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
0,4.200000e-01,9.000000e+00,1.317204e-13,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,2.000000e-02,2.400000e+01,8.261602e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,2.650000e-01,3.000000e+01,9.996987e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,1.550000e-01,3.000000e+01,1.279985e-01,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,3.800000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,2.150000e-01,3.000000e+01,9.999236e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,4.550000e-01,1.500000e+01,3.560126e-10,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
3,1.800000e-01,3.000000e+00,-1.693654e-20,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
3,1.500000e-02,2.400000e+01,1.500000e-02,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,6.000000e-02,1.800000e+01,9.992908e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,0.000000e+00,3.000000e+01,1.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,1.400000e-01,2.400000e+01,9.998820e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
2,1.500000e-02,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
1,1.050000e-01,6.000000e+00,2.422087e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,4.450000e-01,1.500000e+01,8.444563e-10,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,1.100000e-01,2.100000e+01,9.993943e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
0,2.150000e-01,3.000000e+00,1.168179e-10,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,2.200000e-01,2.100000e+01,9.870804e-03,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,3.700000e-01,3.000000e+00,3.464972e-26,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,1.950000e-01,2.100000e+01,2.216257e-02,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
0,4.750000e-01,2.100000e+01,2.908785e-08,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
1,2.350000e-01,2.700000e+01,9.992878e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,2.450000e-01,2.400000e+01,2.450000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,3.200000e-01,3.000000e+01,9.986517e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
1,3.850000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
2,2.500000e-02,2.100000e+01,9.999922e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
3,3.350000e-01,2.400000e+01,3.350000e-01,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
1,4.350000e-01,9.000000e+00,6.753923e-12,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,0
3,1.200000e-01,0.000000e+00,0.000000e+00,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,5
0,3.700000e-01,1.200000e+01,1.188016e-08,5.000000e-01,1.000000e+00,2.000000e-09,0.000000e+00,0
2,3.600000e-01,6.000000e+00,3.594267e-13,5.000000e-01,1.000000e+00,2.000000e-09,8.000000e-06,1
